micro_zone,distributionType,n,scenario,dc
1513,MOTORIZED,12,2-MUC: Nur Transporter,14
1514,MOTORIZED,8,2-MUC: Nur Transporter,14
1515,MOTORIZED,11,2-MUC: Nur Transporter,14
1516,MOTORIZED,14,2-MUC: Nur Transporter,14
1517,MOTORIZED,40,2-MUC: Nur Transporter,14
1518,MOTORIZED,20,2-MUC: Nur Transporter,14
1519,MOTORIZED,18,2-MUC: Nur Transporter,14
1520,MOTORIZED,31,2-MUC: Nur Transporter,14
1521,MOTORIZED,34,2-MUC: Nur Transporter,14
1522,MOTORIZED,26,2-MUC: Nur Transporter,14
1523,MOTORIZED,8,2-MUC: Nur Transporter,14
1524,MOTORIZED,30,2-MUC: Nur Transporter,14
1525,MOTORIZED,25,2-MUC: Nur Transporter,14
1526,MOTORIZED,39,2-MUC: Nur Transporter,14
1527,MOTORIZED,45,2-MUC: Nur Transporter,14
1528,MOTORIZED,30,2-MUC: Nur Transporter,14
1529,MOTORIZED,11,2-MUC: Nur Transporter,14
1530,MOTORIZED,13,2-MUC: Nur Transporter,14
1531,MOTORIZED,8,2-MUC: Nur Transporter,14
1532,MOTORIZED,30,2-MUC: Nur Transporter,14
1533,MOTORIZED,5,2-MUC: Nur Transporter,14
1534,MOTORIZED,15,2-MUC: Nur Transporter,14
1535,MOTORIZED,10,2-MUC: Nur Transporter,14
1536,MOTORIZED,12,2-MUC: Nur Transporter,14
1537,MOTORIZED,15,2-MUC: Nur Transporter,14
1538,MOTORIZED,17,2-MUC: Nur Transporter,14
1539,MOTORIZED,10,2-MUC: Nur Transporter,14
1540,MOTORIZED,7,2-MUC: Nur Transporter,14
1541,MOTORIZED,10,2-MUC: Nur Transporter,14
1542,MOTORIZED,17,2-MUC: Nur Transporter,14
1543,MOTORIZED,8,2-MUC: Nur Transporter,14
1544,MOTORIZED,8,2-MUC: Nur Transporter,14
1545,MOTORIZED,9,2-MUC: Nur Transporter,14
1546,MOTORIZED,17,2-MUC: Nur Transporter,14
1547,MOTORIZED,41,2-MUC: Nur Transporter,14
1548,MOTORIZED,16,2-MUC: Nur Transporter,14
1549,MOTORIZED,15,2-MUC: Nur Transporter,14
1550,MOTORIZED,1,2-MUC: Nur Transporter,14
1551,MOTORIZED,5,2-MUC: Nur Transporter,14
1552,MOTORIZED,23,2-MUC: Nur Transporter,14
1553,MOTORIZED,14,2-MUC: Nur Transporter,14
1554,MOTORIZED,14,2-MUC: Nur Transporter,14
1555,MOTORIZED,8,2-MUC: Nur Transporter,14
1556,MOTORIZED,6,2-MUC: Nur Transporter,14
1557,MOTORIZED,27,2-MUC: Nur Transporter,14
1558,MOTORIZED,4,2-MUC: Nur Transporter,14
1559,MOTORIZED,8,2-MUC: Nur Transporter,14
1560,MOTORIZED,12,2-MUC: Nur Transporter,14
1561,MOTORIZED,12,2-MUC: Nur Transporter,14
1562,MOTORIZED,43,2-MUC: Nur Transporter,14
1734,MOTORIZED,23,2-MUC: Nur Transporter,14
1736,MOTORIZED,10,2-MUC: Nur Transporter,14
1737,MOTORIZED,8,2-MUC: Nur Transporter,14
1739,MOTORIZED,6,2-MUC: Nur Transporter,14
1740,MOTORIZED,8,2-MUC: Nur Transporter,14
1741,MOTORIZED,17,2-MUC: Nur Transporter,14
1742,MOTORIZED,7,2-MUC: Nur Transporter,14
1743,MOTORIZED,19,2-MUC: Nur Transporter,14
1744,MOTORIZED,16,2-MUC: Nur Transporter,14
1745,MOTORIZED,4,2-MUC: Nur Transporter,14
1746,MOTORIZED,15,2-MUC: Nur Transporter,14
1747,MOTORIZED,10,2-MUC: Nur Transporter,14
1748,MOTORIZED,30,2-MUC: Nur Transporter,14
1749,MOTORIZED,24,2-MUC: Nur Transporter,14
1750,MOTORIZED,28,2-MUC: Nur Transporter,14
1751,MOTORIZED,12,2-MUC: Nur Transporter,14
1752,MOTORIZED,4,2-MUC: Nur Transporter,14
1753,MOTORIZED,24,2-MUC: Nur Transporter,14
1754,MOTORIZED,10,2-MUC: Nur Transporter,14
1755,MOTORIZED,5,2-MUC: Nur Transporter,14
1756,MOTORIZED,12,2-MUC: Nur Transporter,14
1757,MOTORIZED,6,2-MUC: Nur Transporter,14
1758,MOTORIZED,18,2-MUC: Nur Transporter,14
1759,MOTORIZED,6,2-MUC: Nur Transporter,14
1760,MOTORIZED,10,2-MUC: Nur Transporter,14
1761,MOTORIZED,10,2-MUC: Nur Transporter,14
1762,MOTORIZED,11,2-MUC: Nur Transporter,14
1763,MOTORIZED,16,2-MUC: Nur Transporter,14
1764,MOTORIZED,15,2-MUC: Nur Transporter,14
1765,MOTORIZED,26,2-MUC: Nur Transporter,14
1766,MOTORIZED,14,2-MUC: Nur Transporter,14
1767,MOTORIZED,14,2-MUC: Nur Transporter,14
1768,MOTORIZED,31,2-MUC: Nur Transporter,14
1769,MOTORIZED,5,2-MUC: Nur Transporter,14
1770,MOTORIZED,15,2-MUC: Nur Transporter,14
1771,MOTORIZED,6,2-MUC: Nur Transporter,14
1772,MOTORIZED,6,2-MUC: Nur Transporter,14
1773,MOTORIZED,8,2-MUC: Nur Transporter,14
1774,MOTORIZED,6,2-MUC: Nur Transporter,14
1775,MOTORIZED,10,2-MUC: Nur Transporter,14
1776,MOTORIZED,15,2-MUC: Nur Transporter,14
1777,MOTORIZED,8,2-MUC: Nur Transporter,14
1778,MOTORIZED,14,2-MUC: Nur Transporter,14
1779,MOTORIZED,15,2-MUC: Nur Transporter,14
1780,MOTORIZED,26,2-MUC: Nur Transporter,14
1781,MOTORIZED,21,2-MUC: Nur Transporter,14
1782,MOTORIZED,24,2-MUC: Nur Transporter,14
1783,MOTORIZED,21,2-MUC: Nur Transporter,14
1784,MOTORIZED,21,2-MUC: Nur Transporter,14
1785,MOTORIZED,11,2-MUC: Nur Transporter,14
1786,MOTORIZED,24,2-MUC: Nur Transporter,14
1787,MOTORIZED,12,2-MUC: Nur Transporter,14
1788,MOTORIZED,22,2-MUC: Nur Transporter,14
1790,MOTORIZED,9,2-MUC: Nur Transporter,14
1791,MOTORIZED,10,2-MUC: Nur Transporter,14
1792,MOTORIZED,6,2-MUC: Nur Transporter,14
1793,MOTORIZED,9,2-MUC: Nur Transporter,14
1794,MOTORIZED,10,2-MUC: Nur Transporter,14
1795,MOTORIZED,4,2-MUC: Nur Transporter,14
1796,MOTORIZED,10,2-MUC: Nur Transporter,14
1797,MOTORIZED,17,2-MUC: Nur Transporter,14
1798,MOTORIZED,8,2-MUC: Nur Transporter,14
1799,MOTORIZED,42,2-MUC: Nur Transporter,14
1800,MOTORIZED,18,2-MUC: Nur Transporter,14
1801,MOTORIZED,21,2-MUC: Nur Transporter,14
1802,MOTORIZED,14,2-MUC: Nur Transporter,14
1803,MOTORIZED,35,2-MUC: Nur Transporter,14
1804,MOTORIZED,1,2-MUC: Nur Transporter,14
1805,MOTORIZED,10,2-MUC: Nur Transporter,14
1806,MOTORIZED,7,2-MUC: Nur Transporter,14
1807,MOTORIZED,18,2-MUC: Nur Transporter,14
1808,MOTORIZED,14,2-MUC: Nur Transporter,14
1809,MOTORIZED,22,2-MUC: Nur Transporter,14
1810,MOTORIZED,13,2-MUC: Nur Transporter,14
1811,MOTORIZED,14,2-MUC: Nur Transporter,14
1812,MOTORIZED,23,2-MUC: Nur Transporter,14
1813,MOTORIZED,3,2-MUC: Nur Transporter,14
1814,MOTORIZED,24,2-MUC: Nur Transporter,14
1815,MOTORIZED,26,2-MUC: Nur Transporter,14
1816,MOTORIZED,23,2-MUC: Nur Transporter,14
1817,MOTORIZED,35,2-MUC: Nur Transporter,14
1818,MOTORIZED,12,2-MUC: Nur Transporter,14
1819,MOTORIZED,75,2-MUC: Nur Transporter,14
1820,MOTORIZED,48,2-MUC: Nur Transporter,14
1821,MOTORIZED,34,2-MUC: Nur Transporter,14
1822,MOTORIZED,45,2-MUC: Nur Transporter,14
1823,MOTORIZED,52,2-MUC: Nur Transporter,14
1824,MOTORIZED,13,2-MUC: Nur Transporter,14
1825,MOTORIZED,3,2-MUC: Nur Transporter,14
1826,MOTORIZED,55,2-MUC: Nur Transporter,14
1827,MOTORIZED,34,2-MUC: Nur Transporter,14
1828,MOTORIZED,18,2-MUC: Nur Transporter,14
1829,MOTORIZED,37,2-MUC: Nur Transporter,14
1830,MOTORIZED,8,2-MUC: Nur Transporter,14
1831,MOTORIZED,27,2-MUC: Nur Transporter,14
1832,MOTORIZED,41,2-MUC: Nur Transporter,14
1833,MOTORIZED,36,2-MUC: Nur Transporter,14
1834,MOTORIZED,49,2-MUC: Nur Transporter,14
1835,MOTORIZED,30,2-MUC: Nur Transporter,14
1836,MOTORIZED,1,2-MUC: Nur Transporter,14
1837,MOTORIZED,8,2-MUC: Nur Transporter,14
1838,MOTORIZED,19,2-MUC: Nur Transporter,14
1839,MOTORIZED,3,2-MUC: Nur Transporter,14
1840,MOTORIZED,12,2-MUC: Nur Transporter,14
1841,MOTORIZED,2,2-MUC: Nur Transporter,14
1842,MOTORIZED,9,2-MUC: Nur Transporter,14
1843,MOTORIZED,35,2-MUC: Nur Transporter,14
1844,MOTORIZED,36,2-MUC: Nur Transporter,14
1845,MOTORIZED,40,2-MUC: Nur Transporter,14
1846,MOTORIZED,10,2-MUC: Nur Transporter,14
1847,MOTORIZED,19,2-MUC: Nur Transporter,14
1848,MOTORIZED,8,2-MUC: Nur Transporter,14
1849,MOTORIZED,9,2-MUC: Nur Transporter,14
1850,MOTORIZED,53,2-MUC: Nur Transporter,14
1851,MOTORIZED,45,2-MUC: Nur Transporter,14
1852,MOTORIZED,11,2-MUC: Nur Transporter,14
1853,MOTORIZED,20,2-MUC: Nur Transporter,14
1854,MOTORIZED,4,2-MUC: Nur Transporter,14
1855,MOTORIZED,10,2-MUC: Nur Transporter,14
1856,MOTORIZED,24,2-MUC: Nur Transporter,14
1857,MOTORIZED,14,2-MUC: Nur Transporter,14
1858,MOTORIZED,10,2-MUC: Nur Transporter,14
1859,MOTORIZED,14,2-MUC: Nur Transporter,14
1860,MOTORIZED,46,2-MUC: Nur Transporter,14
1861,MOTORIZED,67,2-MUC: Nur Transporter,14
1862,MOTORIZED,25,2-MUC: Nur Transporter,14
1863,MOTORIZED,61,2-MUC: Nur Transporter,14
1864,MOTORIZED,11,2-MUC: Nur Transporter,14
1865,MOTORIZED,14,2-MUC: Nur Transporter,14
1866,MOTORIZED,13,2-MUC: Nur Transporter,14
1867,MOTORIZED,9,2-MUC: Nur Transporter,14
1868,MOTORIZED,11,2-MUC: Nur Transporter,14
1869,MOTORIZED,14,2-MUC: Nur Transporter,14
1870,MOTORIZED,14,2-MUC: Nur Transporter,14
1871,MOTORIZED,12,2-MUC: Nur Transporter,14
1872,MOTORIZED,9,2-MUC: Nur Transporter,14
1873,MOTORIZED,4,2-MUC: Nur Transporter,14
1874,MOTORIZED,7,2-MUC: Nur Transporter,14
1875,MOTORIZED,11,2-MUC: Nur Transporter,14
1876,MOTORIZED,18,2-MUC: Nur Transporter,14
1877,MOTORIZED,10,2-MUC: Nur Transporter,14
1878,MOTORIZED,12,2-MUC: Nur Transporter,14
1879,MOTORIZED,6,2-MUC: Nur Transporter,14
1880,MOTORIZED,15,2-MUC: Nur Transporter,14
1881,MOTORIZED,1,2-MUC: Nur Transporter,14
1882,MOTORIZED,10,2-MUC: Nur Transporter,14
1883,MOTORIZED,17,2-MUC: Nur Transporter,14
1884,MOTORIZED,63,2-MUC: Nur Transporter,14
1885,MOTORIZED,34,2-MUC: Nur Transporter,14
1886,MOTORIZED,35,2-MUC: Nur Transporter,14
1887,MOTORIZED,30,2-MUC: Nur Transporter,14
1888,MOTORIZED,7,2-MUC: Nur Transporter,14
1889,MOTORIZED,27,2-MUC: Nur Transporter,14
1890,MOTORIZED,42,2-MUC: Nur Transporter,14
1891,MOTORIZED,27,2-MUC: Nur Transporter,14
1892,MOTORIZED,11,2-MUC: Nur Transporter,14
1893,MOTORIZED,36,2-MUC: Nur Transporter,14
1894,MOTORIZED,19,2-MUC: Nur Transporter,14
1895,MOTORIZED,49,2-MUC: Nur Transporter,14
1896,MOTORIZED,17,2-MUC: Nur Transporter,14
1897,MOTORIZED,27,2-MUC: Nur Transporter,14
1898,MOTORIZED,29,2-MUC: Nur Transporter,14
1899,MOTORIZED,40,2-MUC: Nur Transporter,14
1900,MOTORIZED,26,2-MUC: Nur Transporter,14
1901,MOTORIZED,21,2-MUC: Nur Transporter,14
1902,MOTORIZED,21,2-MUC: Nur Transporter,14
1903,MOTORIZED,22,2-MUC: Nur Transporter,14
1904,MOTORIZED,34,2-MUC: Nur Transporter,14
1905,MOTORIZED,38,2-MUC: Nur Transporter,14
1906,MOTORIZED,43,2-MUC: Nur Transporter,14
1907,MOTORIZED,32,2-MUC: Nur Transporter,14
1908,MOTORIZED,37,2-MUC: Nur Transporter,14
1909,MOTORIZED,37,2-MUC: Nur Transporter,14
1910,MOTORIZED,31,2-MUC: Nur Transporter,14
1911,MOTORIZED,14,2-MUC: Nur Transporter,14
1912,MOTORIZED,40,2-MUC: Nur Transporter,14
1913,MOTORIZED,49,2-MUC: Nur Transporter,14
1914,MOTORIZED,7,2-MUC: Nur Transporter,14
1915,MOTORIZED,14,2-MUC: Nur Transporter,14
1916,MOTORIZED,5,2-MUC: Nur Transporter,14
1917,MOTORIZED,6,2-MUC: Nur Transporter,14
1918,MOTORIZED,2,2-MUC: Nur Transporter,14
1919,MOTORIZED,6,2-MUC: Nur Transporter,14
1920,MOTORIZED,3,2-MUC: Nur Transporter,14
1921,MOTORIZED,11,2-MUC: Nur Transporter,14
1922,MOTORIZED,111,2-MUC: Nur Transporter,14
1923,MOTORIZED,22,2-MUC: Nur Transporter,14
1924,MOTORIZED,26,2-MUC: Nur Transporter,14
1925,MOTORIZED,16,2-MUC: Nur Transporter,14
1926,MOTORIZED,24,2-MUC: Nur Transporter,14
1927,MOTORIZED,16,2-MUC: Nur Transporter,14
1928,MOTORIZED,52,2-MUC: Nur Transporter,14
1929,MOTORIZED,28,2-MUC: Nur Transporter,14
1930,MOTORIZED,26,2-MUC: Nur Transporter,14
1931,MOTORIZED,57,2-MUC: Nur Transporter,14
1932,MOTORIZED,41,2-MUC: Nur Transporter,14
1933,MOTORIZED,10,2-MUC: Nur Transporter,14
1934,MOTORIZED,22,2-MUC: Nur Transporter,14
1935,MOTORIZED,23,2-MUC: Nur Transporter,14
1936,MOTORIZED,9,2-MUC: Nur Transporter,14
1937,MOTORIZED,30,2-MUC: Nur Transporter,14
1938,MOTORIZED,5,2-MUC: Nur Transporter,14
1939,MOTORIZED,28,2-MUC: Nur Transporter,14
1940,MOTORIZED,1,2-MUC: Nur Transporter,14
1941,MOTORIZED,7,2-MUC: Nur Transporter,14
1942,MOTORIZED,7,2-MUC: Nur Transporter,14
1943,MOTORIZED,4,2-MUC: Nur Transporter,14
1944,MOTORIZED,7,2-MUC: Nur Transporter,14
1945,MOTORIZED,13,2-MUC: Nur Transporter,14
1946,MOTORIZED,22,2-MUC: Nur Transporter,14
1947,MOTORIZED,8,2-MUC: Nur Transporter,14
1948,MOTORIZED,5,2-MUC: Nur Transporter,14
1949,MOTORIZED,2,2-MUC: Nur Transporter,14
1952,MOTORIZED,12,2-MUC: Nur Transporter,14
1953,MOTORIZED,15,2-MUC: Nur Transporter,14
1955,MOTORIZED,22,2-MUC: Nur Transporter,14
1956,MOTORIZED,63,2-MUC: Nur Transporter,14
1974,MOTORIZED,64,2-MUC: Nur Transporter,14
1975,MOTORIZED,7,2-MUC: Nur Transporter,14
1976,MOTORIZED,6,2-MUC: Nur Transporter,14
1977,MOTORIZED,29,2-MUC: Nur Transporter,14
1978,MOTORIZED,8,2-MUC: Nur Transporter,14
