micro_zone,microDepotId,scenario,dc
1447,330,2-MUC: Nur Transporter,14
1448,282,2-MUC: Nur Transporter,14
1449,330,2-MUC: Nur Transporter,14
1450,81,2-MUC: Nur Transporter,14
1452,105,2-MUC: Nur Transporter,14
1453,105,2-MUC: Nur Transporter,14
1454,105,2-MUC: Nur Transporter,14
1455,78,2-MUC: Nur Transporter,14
1456,78,2-MUC: Nur Transporter,14
1457,78,2-MUC: Nur Transporter,14
1458,78,2-MUC: Nur Transporter,14
1459,102,2-MUC: Nur Transporter,14
1460,102,2-MUC: Nur Transporter,14
1461,102,2-MUC: Nur Transporter,14
1462,102,2-MUC: Nur Transporter,14
1463,138,2-MUC: Nur Transporter,14
1464,183,2-MUC: Nur Transporter,14
1465,135,2-MUC: Nur Transporter,14
1466,135,2-MUC: Nur Transporter,14
1467,135,2-MUC: Nur Transporter,14
1468,135,2-MUC: Nur Transporter,14
1469,180,2-MUC: Nur Transporter,14
1470,78,2-MUC: Nur Transporter,14
1471,78,2-MUC: Nur Transporter,14
1472,75,2-MUC: Nur Transporter,14
1473,75,2-MUC: Nur Transporter,14
1474,102,2-MUC: Nur Transporter,14
1475,102,2-MUC: Nur Transporter,14
1476,99,2-MUC: Nur Transporter,14
1477,99,2-MUC: Nur Transporter,14
1478,75,2-MUC: Nur Transporter,14
1479,99,2-MUC: Nur Transporter,14
1480,99,2-MUC: Nur Transporter,14
1481,96,2-MUC: Nur Transporter,14
1482,96,2-MUC: Nur Transporter,14
1483,135,2-MUC: Nur Transporter,14
1484,135,2-MUC: Nur Transporter,14
1485,132,2-MUC: Nur Transporter,14
1486,132,2-MUC: Nur Transporter,14
1487,135,2-MUC: Nur Transporter,14
1488,180,2-MUC: Nur Transporter,14
1489,132,2-MUC: Nur Transporter,14
1490,177,2-MUC: Nur Transporter,14
1491,132,2-MUC: Nur Transporter,14
1492,132,2-MUC: Nur Transporter,14
1493,129,2-MUC: Nur Transporter,14
1494,129,2-MUC: Nur Transporter,14
1495,132,2-MUC: Nur Transporter,14
1496,177,2-MUC: Nur Transporter,14
1497,129,2-MUC: Nur Transporter,14
1498,174,2-MUC: Nur Transporter,14
1499,183,2-MUC: Nur Transporter,14
1500,231,2-MUC: Nur Transporter,14
1501,180,2-MUC: Nur Transporter,14
1502,228,2-MUC: Nur Transporter,14
1503,279,2-MUC: Nur Transporter,14
1504,279,2-MUC: Nur Transporter,14
1505,279,2-MUC: Nur Transporter,14
1506,279,2-MUC: Nur Transporter,14
1507,327,2-MUC: Nur Transporter,14
1508,276,2-MUC: Nur Transporter,14
1509,324,2-MUC: Nur Transporter,14
1510,324,2-MUC: Nur Transporter,14
1511,324,2-MUC: Nur Transporter,14
1512,324,2-MUC: Nur Transporter,14
1513,180,2-MUC: Nur Transporter,14
1514,228,2-MUC: Nur Transporter,14
1515,177,2-MUC: Nur Transporter,14
1516,225,2-MUC: Nur Transporter,14
1517,228,2-MUC: Nur Transporter,14
1518,228,2-MUC: Nur Transporter,14
1519,225,2-MUC: Nur Transporter,14
1520,225,2-MUC: Nur Transporter,14
1521,177,2-MUC: Nur Transporter,14
1522,225,2-MUC: Nur Transporter,14
1523,174,2-MUC: Nur Transporter,14
1524,222,2-MUC: Nur Transporter,14
1525,225,2-MUC: Nur Transporter,14
1526,225,2-MUC: Nur Transporter,14
1527,222,2-MUC: Nur Transporter,14
1528,222,2-MUC: Nur Transporter,14
1529,276,2-MUC: Nur Transporter,14
1530,276,2-MUC: Nur Transporter,14
1531,273,2-MUC: Nur Transporter,14
1532,273,2-MUC: Nur Transporter,14
1533,324,2-MUC: Nur Transporter,14
1534,324,2-MUC: Nur Transporter,14
1535,273,2-MUC: Nur Transporter,14
1536,321,2-MUC: Nur Transporter,14
1537,273,2-MUC: Nur Transporter,14
1538,321,2-MUC: Nur Transporter,14
1539,321,2-MUC: Nur Transporter,14
1540,321,2-MUC: Nur Transporter,14
1541,321,2-MUC: Nur Transporter,14
1542,321,2-MUC: Nur Transporter,14
1543,273,2-MUC: Nur Transporter,14
1544,273,2-MUC: Nur Transporter,14
1545,273,2-MUC: Nur Transporter,14
1546,273,2-MUC: Nur Transporter,14
1547,273,2-MUC: Nur Transporter,14
1548,273,2-MUC: Nur Transporter,14
1549,273,2-MUC: Nur Transporter,14
1550,270,2-MUC: Nur Transporter,14
1551,270,2-MUC: Nur Transporter,14
1552,270,2-MUC: Nur Transporter,14
1553,273,2-MUC: Nur Transporter,14
1554,321,2-MUC: Nur Transporter,14
1555,273,2-MUC: Nur Transporter,14
1556,321,2-MUC: Nur Transporter,14
1557,321,2-MUC: Nur Transporter,14
1558,273,2-MUC: Nur Transporter,14
1559,321,2-MUC: Nur Transporter,14
1560,270,2-MUC: Nur Transporter,14
1561,318,2-MUC: Nur Transporter,14
1562,318,2-MUC: Nur Transporter,14
1734,426,2-MUC: Nur Transporter,14
1736,426,2-MUC: Nur Transporter,14
1737,426,2-MUC: Nur Transporter,14
1739,426,2-MUC: Nur Transporter,14
1740,426,2-MUC: Nur Transporter,14
1741,333,2-MUC: Nur Transporter,14
1742,381,2-MUC: Nur Transporter,14
1743,330,2-MUC: Nur Transporter,14
1744,378,2-MUC: Nur Transporter,14
1745,381,2-MUC: Nur Transporter,14
1746,426,2-MUC: Nur Transporter,14
1747,378,2-MUC: Nur Transporter,14
1748,423,2-MUC: Nur Transporter,14
1749,378,2-MUC: Nur Transporter,14
1750,378,2-MUC: Nur Transporter,14
1751,423,2-MUC: Nur Transporter,14
1752,378,2-MUC: Nur Transporter,14
1753,423,2-MUC: Nur Transporter,14
1754,426,2-MUC: Nur Transporter,14
1755,426,2-MUC: Nur Transporter,14
1756,426,2-MUC: Nur Transporter,14
1757,426,2-MUC: Nur Transporter,14
1758,426,2-MUC: Nur Transporter,14
1759,426,2-MUC: Nur Transporter,14
1760,426,2-MUC: Nur Transporter,14
1761,423,2-MUC: Nur Transporter,14
1762,423,2-MUC: Nur Transporter,14
1763,423,2-MUC: Nur Transporter,14
1764,471,2-MUC: Nur Transporter,14
1765,423,2-MUC: Nur Transporter,14
1766,423,2-MUC: Nur Transporter,14
1767,423,2-MUC: Nur Transporter,14
1768,423,2-MUC: Nur Transporter,14
1769,468,2-MUC: Nur Transporter,14
1770,468,2-MUC: Nur Transporter,14
1771,468,2-MUC: Nur Transporter,14
1772,468,2-MUC: Nur Transporter,14
1773,468,2-MUC: Nur Transporter,14
1774,468,2-MUC: Nur Transporter,14
1775,468,2-MUC: Nur Transporter,14
1776,468,2-MUC: Nur Transporter,14
1777,468,2-MUC: Nur Transporter,14
1778,468,2-MUC: Nur Transporter,14
1779,513,2-MUC: Nur Transporter,14
1780,513,2-MUC: Nur Transporter,14
1781,513,2-MUC: Nur Transporter,14
1782,513,2-MUC: Nur Transporter,14
1783,513,2-MUC: Nur Transporter,14
1784,513,2-MUC: Nur Transporter,14
1785,513,2-MUC: Nur Transporter,14
1786,552,2-MUC: Nur Transporter,14
1787,552,2-MUC: Nur Transporter,14
1788,591,2-MUC: Nur Transporter,14
1790,591,2-MUC: Nur Transporter,14
1791,591,2-MUC: Nur Transporter,14
1792,327,2-MUC: Nur Transporter,14
1793,375,2-MUC: Nur Transporter,14
1794,327,2-MUC: Nur Transporter,14
1795,327,2-MUC: Nur Transporter,14
1796,327,2-MUC: Nur Transporter,14
1797,327,2-MUC: Nur Transporter,14
1798,375,2-MUC: Nur Transporter,14
1799,375,2-MUC: Nur Transporter,14
1800,420,2-MUC: Nur Transporter,14
1801,375,2-MUC: Nur Transporter,14
1802,420,2-MUC: Nur Transporter,14
1803,324,2-MUC: Nur Transporter,14
1804,372,2-MUC: Nur Transporter,14
1805,324,2-MUC: Nur Transporter,14
1806,372,2-MUC: Nur Transporter,14
1807,372,2-MUC: Nur Transporter,14
1808,417,2-MUC: Nur Transporter,14
1809,372,2-MUC: Nur Transporter,14
1810,417,2-MUC: Nur Transporter,14
1811,420,2-MUC: Nur Transporter,14
1812,420,2-MUC: Nur Transporter,14
1813,420,2-MUC: Nur Transporter,14
1814,420,2-MUC: Nur Transporter,14
1815,465,2-MUC: Nur Transporter,14
1816,465,2-MUC: Nur Transporter,14
1817,465,2-MUC: Nur Transporter,14
1818,465,2-MUC: Nur Transporter,14
1819,417,2-MUC: Nur Transporter,14
1820,462,2-MUC: Nur Transporter,14
1821,462,2-MUC: Nur Transporter,14
1822,462,2-MUC: Nur Transporter,14
1823,462,2-MUC: Nur Transporter,14
1824,324,2-MUC: Nur Transporter,14
1825,372,2-MUC: Nur Transporter,14
1826,321,2-MUC: Nur Transporter,14
1827,369,2-MUC: Nur Transporter,14
1828,372,2-MUC: Nur Transporter,14
1829,417,2-MUC: Nur Transporter,14
1830,369,2-MUC: Nur Transporter,14
1831,414,2-MUC: Nur Transporter,14
1832,321,2-MUC: Nur Transporter,14
1833,369,2-MUC: Nur Transporter,14
1834,318,2-MUC: Nur Transporter,14
1835,366,2-MUC: Nur Transporter,14
1836,369,2-MUC: Nur Transporter,14
1837,369,2-MUC: Nur Transporter,14
1838,414,2-MUC: Nur Transporter,14
1839,369,2-MUC: Nur Transporter,14
1840,414,2-MUC: Nur Transporter,14
1841,366,2-MUC: Nur Transporter,14
1842,411,2-MUC: Nur Transporter,14
1843,417,2-MUC: Nur Transporter,14
1844,417,2-MUC: Nur Transporter,14
1845,414,2-MUC: Nur Transporter,14
1846,414,2-MUC: Nur Transporter,14
1847,414,2-MUC: Nur Transporter,14
1848,414,2-MUC: Nur Transporter,14
1849,414,2-MUC: Nur Transporter,14
1850,462,2-MUC: Nur Transporter,14
1851,462,2-MUC: Nur Transporter,14
1852,459,2-MUC: Nur Transporter,14
1853,459,2-MUC: Nur Transporter,14
1854,459,2-MUC: Nur Transporter,14
1855,459,2-MUC: Nur Transporter,14
1856,459,2-MUC: Nur Transporter,14
1857,459,2-MUC: Nur Transporter,14
1858,459,2-MUC: Nur Transporter,14
1859,459,2-MUC: Nur Transporter,14
1860,414,2-MUC: Nur Transporter,14
1861,414,2-MUC: Nur Transporter,14
1862,411,2-MUC: Nur Transporter,14
1863,411,2-MUC: Nur Transporter,14
1864,459,2-MUC: Nur Transporter,14
1865,459,2-MUC: Nur Transporter,14
1866,459,2-MUC: Nur Transporter,14
1867,459,2-MUC: Nur Transporter,14
1868,459,2-MUC: Nur Transporter,14
1869,459,2-MUC: Nur Transporter,14
1870,459,2-MUC: Nur Transporter,14
1871,459,2-MUC: Nur Transporter,14
1872,459,2-MUC: Nur Transporter,14
1873,459,2-MUC: Nur Transporter,14
1874,456,2-MUC: Nur Transporter,14
1875,456,2-MUC: Nur Transporter,14
1876,459,2-MUC: Nur Transporter,14
1877,459,2-MUC: Nur Transporter,14
1878,456,2-MUC: Nur Transporter,14
1879,456,2-MUC: Nur Transporter,14
1880,510,2-MUC: Nur Transporter,14
1881,510,2-MUC: Nur Transporter,14
1882,510,2-MUC: Nur Transporter,14
1883,510,2-MUC: Nur Transporter,14
1884,510,2-MUC: Nur Transporter,14
1885,552,2-MUC: Nur Transporter,14
1886,510,2-MUC: Nur Transporter,14
1887,552,2-MUC: Nur Transporter,14
1888,507,2-MUC: Nur Transporter,14
1889,507,2-MUC: Nur Transporter,14
1890,507,2-MUC: Nur Transporter,14
1891,507,2-MUC: Nur Transporter,14
