toDestination,vehicle,customer_type,weight_kg,n,scenario,dc
Von Kunden gesendet,Zulieferer - Paketshop,In Paketshop,195866.1762802841,23981,3-MUC: Optimiert,14
Von Kunden gesendet,Zulieferer - Paketshop,Gesamt,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,Transporter,Direkt zu/von Kunden,176289.64179604664,18431,3-MUC: Optimiert,14
Zu Kunden geliefert,Transporter,In Paketshop,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,Transporter,Gesamt,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,Lastenrad,Direkt zu/von Kunden,26909.036037615104,6953,3-MUC: Optimiert,14
Zu Kunden geliefert,Lastenrad,In Paketshop,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,Lastenrad,Gesamt,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,LKW der Fernverkehr,Direkt zu/von Kunden,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,LKW der Fernverkehr,In Paketshop,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,LKW der Fernverkehr,Gesamt,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,Zulieferer - Paketshop,Direkt zu/von Kunden,0,0,3-MUC: Optimiert,14
Zu Kunden geliefert,Zulieferer - Paketshop,In Paketshop,51743.31384540614,6374,3-MUC: Optimiert,14
Zu Kunden geliefert,Zulieferer - Paketshop,Gesamt,0,0,3-MUC: Optimiert,14
